,name,party,state,SGID,thomas_id,bioguide_id,congress,number_of_bills,share_of_bills,share_of_signatures_received_111_115,share_of_signatures_given_111_115,engagement_score,eigenvector_centrality
0,"Barton, Joe",Republican,TX,62,62,B000213,115,7,0.001013465,0.002598237,0.001687945,0.005299647,0.0501139
1,"Becerra, Xavier",Democrat,CA,70,70,B000287,115,0,0,0.001087146,0.000960019,0.002047165,0.000445136
2,"Bishop, Sanford D., Jr.",Democrat,GA,91,91,B000490,115,4,0.000579123,0.001322204,0.003458178,0.005359505,0.044444009
3,"Blumenauer, Earl",Democrat,OR,99,99,B000574,115,29,0.004198639,0.004764133,0.006384653,0.015347426,0.060363497
4,"Calvert, Ken",Republican,CA,166,165,C000059,115,12,0.001737368,0.00137887,0.002962344,0.006078582,0.040634325
5,"Chabot, Steve",Republican,OH,187,186,C000266,115,28,0.004053858,0.00272626,0.002542468,0.009322586,0.055961459
6,"Clyburn, James E.",Democrat,SC,210,208,C000537,115,8,0.001158245,0.001448129,0.001095055,0.003701428,0.031874053
7,"Conyers, John, Jr.",Democrat,MI,231,229,C000714,115,21,0.003040394,0.007813599,0.006215859,0.017069851,0.046448986
8,"Cooper, Jim",Democrat,TN,233,231,C000754,115,8,0.001158245,0.001431339,0.00185885,0.004448434,0.036899315
9,"Cummings, Elijah E.",Democrat,MD,258,256,C000984,115,18,0.002606052,0.002102935,0.003905484,0.00861447,0.044239119
10,"DeFazio, Peter A.",Democrat,OR,282,279,D000191,115,36,0.005212104,0.004417842,0.004200874,0.013830819,0.063009394
11,"DeLauro, Rosa L.",Democrat,CT,284,281,D000216,115,38,0.005501665,0.014300795,0.003922363,0.023724823,0.053708746
12,"Doggett, Lloyd",Democrat,TX,306,303,D000399,115,18,0.002606052,0.005427334,0.002485499,0.010518886,0.047092198
13,"Doyle, Michael F.",Democrat,PA,319,316,D000482,115,5,0.000723903,0.002581447,0.002783,0.00608835,0.054518098
14,"Duncan, John J., Jr.",Republican,TN,325,322,D000533,115,14,0.002026929,0.001357883,0.002829418,0.006214231,0.028622032
15,"Engel, Eliot L.",Democrat,NY,347,344,E000179,115,42,0.006080788,0.007324593,0.003856955,0.017262335,0.069181373
16,"Eshoo, Anna G.",Democrat,CA,358,355,E000215,115,13,0.001882149,0.004417842,0.004131246,0.010431237,0.05855066
17,"Frelinghuysen, Rodney P.",Republican,NJ,418,414,F000372,115,1,0.000144781,0.000386168,0.001303938,0.001834886,0.018183835
18,"Goodlatte, Bob",Republican,VA,450,446,G000289,115,25,0.003619516,0.007773723,0.002206989,0.013600227,0.045750109
19,"Green, Gene",Democrat,TX,466,462,G000410,115,8,0.001158245,0.003328597,0.003565785,0.008052627,0.049831718
20,"Gutierrez, Luis V.",Democrat,IL,482,478,G000535,115,4,0.000579123,0.000959123,0.003816866,0.005355112,0.046463786
21,"Hastings, Alcee L.",Democrat,FL,515,511,H000324,115,30,0.00434342,0.007177681,0.006969104,0.018490205,0.065065959
22,"Hoyer, Steny H.",Democrat,MD,570,566,H000874,115,7,0.001013465,0.001882567,0.000780675,0.003676707,0.026909795
23,"Jackson Lee, Sheila",Democrat,TX,593,588,J000032,115,41,0.005936007,0.005108326,0.005382436,0.016426769,0.057311339
24,"Johnson, Eddie Bernice",Democrat,TX,604,599,J000126,115,16,0.002316491,0.004260436,0.003821086,0.010398013,0.05273626
25,"Johnson, Sam",Republican,TX,608,603,J000174,115,35,0.005067323,0.006226953,0.002190109,0.013484385,0.052539915
26,"Jones, Walter B., Jr.",Republican,NC,617,612,J000255,115,19,0.002750832,0.003244648,0.005926798,0.011922278,0.050450944
27,"Kaptur, Marcy",Democrat,OH,621,616,K000009,115,21,0.003040394,0.002761938,0.004300041,0.010102373,0.054008951
28,"King, Peter T.",Republican,NY,640,635,K000210,115,28,0.004053858,0.007282618,0.003937132,0.015273609,0.060012049
29,"Levin, Sander M.",Democrat,MI,688,683,L000263,115,13,0.001882149,0.003318103,0.002605766,0.007806018,0.036871159
30,"Lewis, John",Democrat,GA,693,688,L000287,115,29,0.004198639,0.007408542,0.004781105,0.016388286,0.050749317
31,"LoBiondo, Frank A.",Republican,NJ,703,699,L000554,115,7,0.001013465,0.001045171,0.002641634,0.00470027,0.042113246
32,"Lofgren, Zoe",Democrat,CA,705,701,L000397,115,16,0.002316491,0.004801911,0.005937348,0.013055749,0.06409541
33,"Lowey, Nita M.",Democrat,NY,713,709,L000480,115,9,0.001303026,0.004810306,0.002981333,0.009094665,0.049983534
34,"Lucas, Frank D.",Republican,OK,715,711,L000491,115,4,0.000579123,0.000358884,0.001409434,0.002347441,0.019832659
35,"Maloney, Carolyn B.",Democrat,NY,733,729,M000087,115,41,0.005936007,0.013967096,0.004890822,0.024793925,0.05921171
36,"Nadler, Jerrold",Democrat,NY,854,850,N000002,115,22,0.003185174,0.008690871,0.004363339,0.016239384,0.054790782
37,"Neal, Richard E.",Democrat,MA,858,854,N000015,115,13,0.001882149,0.003339091,0.002196439,0.007417678,0.062492955
38,"Nolan, Richard M.",Democrat,MN,871,867,N000127,115,15,0.00217171,0.000686287,0.002270286,0.005128283,0.051974107
39,"Norton, Eleanor Holmes",Democrat,DC,872,868,N000147,115,32,0.004632981,0.00287527,0.009914569,0.01742282,0.0616229
40,"Pallone, Frank, Jr.",Democrat,NJ,891,887,P000034,115,26,0.003764297,0.004090439,0.002814649,0.010669385,0.050189793
41,"Pelosi, Nancy",Democrat,CA,909,905,P000197,115,0,0,0.000468018,0.000470515,0.000938533,0.009744203
42,"Peterson, Collin C.",Democrat,MN,914,910,P000258,115,8,0.001158245,0.001034677,0.003422309,0.005615232,0.044135429
43,"Price, David E.",Democrat,NC,934,930,P000523,115,11,0.001592587,0.001838494,0.003230305,0.006661386,0.05171665
44,"Rogers, Harold",Republican,KY,981,977,R000395,115,2,0.000289561,0.000285428,0.001358796,0.001933786,0.020006278
45,"Rohrabacher, Dana",Republican,CA,983,979,R000409,115,12,0.001737368,0.001439734,0.002061403,0.005238505,0.027964408
46,"Ros-Lehtinen, Ileana",Republican,FL,989,985,R000435,115,24,0.003474736,0.015243128,0.003048851,0.021766715,0.071843875
47,"Roybal-Allard, Lucille",Democrat,CA,1001,997,R000486,115,12,0.001737368,0.00417229,0.003656512,0.009566169,0.055946242
48,"Royce, Edward R.",Republican,CA,1002,998,R000487,115,33,0.004777762,0.009316294,0.002082503,0.016176559,0.076544496
49,"Rush, Bobby L.",Democrat,IL,1007,1003,R000515,115,15,0.00217171,0.002348487,0.004880272,0.009400469,0.052800169
